Time,HeartRate,BPSys,BPDia,RespRate,Activity,AFibBurden,State
0,111.0,207.0,118.0,23.0,107.0,40.5,LyingDown
1,107.0,210.0,120.0,21.0,423.0,39.5,Exercise
2,112.0,207.0,121.0,17.0,199.0,39.1,Rest
3,111.0,210.0,118.0,23.0,51.0,40.2,LyingDown
4,111.0,210.0,122.0,20.0,595.0,39.4,Exercise
5,111.0,207.0,117.0,18.0,174.0,40.1,Rest
6,108.0,209.0,121.0,24.0,121.0,39.1,LyingDown
7,108.0,206.0,120.0,22.0,588.0,39.5,Exercise
8,110.0,207.0,119.0,17.0,180.0,40.2,Rest
9,111.0,212.0,115.0,23.0,97.0,38.7,LyingDown
10,107.0,208.0,120.0,24.0,521.0,39.3,Exercise
11,109.0,206.0,121.0,16.0,226.0,42.6,Rest
12,109.0,210.0,119.0,22.0,145.0,38.7,LyingDown
13,112.0,211.0,123.0,21.0,457.0,40.4,Exercise
14,112.0,205.0,119.0,19.0,144.0,39.6,Rest
15,106.0,209.0,119.0,22.0,108.0,41.0,LyingDown
16,112.0,206.0,118.0,20.0,506.0,40.2,Exercise
17,111.0,208.0,119.0,18.0,104.0,40.4,Rest
18,110.0,209.0,119.0,24.0,72.0,41.4,LyingDown
19,109.0,214.0,119.0,20.0,482.0,40.9,Exercise
20,112.0,210.0,122.0,18.0,241.0,41.2,Rest
