
Time,HeartRate,TempC,BPSys,BPDia,RespRate,Activity
0,61.0,37.0,119.0,77.0,12.0,8007.0
1,60.0,37.0,121.0,77.0,11.0,7973.0
2,61.0,37.1,125.0,80.0,11.0,8004.0
3,61.0,37.1,121.0,80.0,12.0,8079.0
4,64.0,37.0,128.0,83.0,12.0,8011.0
5,63.0,37.0,130.0,80.0,13.0,8004.0
6,65.0,36.9,132.0,88.0,12.0,7968.0
7,65.0,37.0,125.0,82.0,12.0,7950.0
8,67.0,36.9,139.0,84.0,13.0,7906.0
9,66.0,37.0,125.0,85.0,12.0,7959.0
10,67.0,37.0,135.0,87.0,13.0,7878.0
11,67.0,36.9,134.0,89.0,13.0,7817.0
12,71.0,37.0,140.0,89.0,13.0,7880.0
13,73.0,37.0,145.0,89.0,13.0,7818.0
14,72.0,37.0,140.0,93.0,13.0,7820.0
15,72.0,37.1,135.0,88.0,14.0,7885.0
16,73.0,36.9,141.0,90.0,12.0,7888.0
17,73.0,37.1,142.0,87.0,13.0,7825.0
18,75.0,37.0,146.0,95.0,13.0,7833.0
19,77.0,37.0,149.0,92.0,14.0,7690.0
20,75.0,37.0,150.0,93.0,14.0,7666.0
21,78.0,37.0,153.0,94.0,13.0,7582.0
22,79.0,37.2,151.0,93.0,14.0,7577.0
23,80.0,37.0,155.0,91.0,14.0,7453.0
24,79.0,37.0,151.0,102.0,14.0,7483.0
25,81.0,37.0,156.0,99.0,14.0,7419.0
26,83.0,37.1,156.0,97.0,14.0,7375.0
27,82.0,37.0,157.0,98.0,14.0,7890.0
