Time,HeartRate,TempC,BPSys,BPDia,RespRate,Activity
0,78.0,37.1,122.0,81.0,12.0,9969.0
1,82.0,37.0,120.0,81.0,13.0,9720.0
2,88.0,37.2,121.0,83.0,13.0,9575.0
3,87.0,37.3,121.0,82.0,14.0,9281.0
4,94.0,37.2,121.0,84.0,14.0,9068.0
5,98.0,37.2,128.0,84.0,14.0,8750.0
6,99.0,37.5,128.0,88.0,15.0,8326.0
7,101.0,37.8,127.0,85.0,15.0,8021.0
8,105.0,37.5,129.0,87.0,16.0,7730.0
9,106.0,37.9,133.0,87.0,16.0,7060.0
10,108.0,37.9,133.0,88.0,16.0,6631.0
11,111.0,37.8,132.0,91.0,17.0,6108.0
12,115.0,38.1,136.0,91.0,17.0,5732.0
13,115.0,38.3,136.0,91.0,18.0,5165.0
14,133.0,38.2,137.0,91.0,17.0,4924.0
15,123.0,38.2,140.0,93.0,18.0,4487.0
16,121.0,38.5,135.0,93.0,18.0,3940.0
17,128.0,38.6,137.0,96.0,19.0,3709.0
18,135.0,38.5,138.0,95.0,21.0,3177.0
19,129.0,38.7,139.0,99.0,20.0,2833.0
20,136.0,38.7,142.0,97.0,20.0,2702.0
21,138.0,38.9,142.0,96.0,21.0,2567.0
22,145.0,39.0,145.0,102.0,21.0,2225.0
23,145.0,38.9,148.0,100.0,22.0,1794.0
